Country,Code,ContinentCode,Year,Month,Consumer Price Index (CPI)
Australia,AUS,OC,2020,1,
Australia,AUS,OC,2020,2,
Australia,AUS,OC,2020,3,116.6
Australia,AUS,OC,2020,4,
Australia,AUS,OC,2020,5,
Australia,AUS,OC,2020,6,114.4
Australia,AUS,OC,2020,7,
Australia,AUS,OC,2020,8,
Australia,AUS,OC,2020,9,116.2
Australia,AUS,OC,2020,10,
Australia,AUS,OC,2020,11,
Australia,AUS,OC,2020,12,
China,CHN,AS,2020,1,129.31
China,CHN,AS,2020,2,130.35
China,CHN,AS,2020,3,128.78
China,CHN,AS,2020,4,127.62
China,CHN,AS,2020,5,126.6
China,CHN,AS,2020,6,126.48
China,CHN,AS,2020,7,127.23
China,CHN,AS,2020,8,127.74
China,CHN,AS,2020,9,128
China,CHN,AS,2020,10,127.61
China,CHN,AS,2020,11,126.85
China,CHN,AS,2020,12,
Malaysia,MYS,AS,2020,1,122.4
Malaysia,MYS,AS,2020,2,122.4
Malaysia,MYS,AS,2020,3,120.9
Malaysia,MYS,AS,2020,4,117.6
Malaysia,MYS,AS,2020,5,117.9
Malaysia,MYS,AS,2020,6,119.1
Malaysia,MYS,AS,2020,7,119.9
Malaysia,MYS,AS,2020,8,120.1
Malaysia,MYS,AS,2020,9,120.1
Malaysia,MYS,AS,2020,10,120.2
Malaysia,MYS,AS,2020,11,120
Malaysia,MYS,AS,2020,12,
Russia,RUS,EU,2020,1,182.99
Russia,RUS,EU,2020,2,183.72
Russia,RUS,EU,2020,3,184.82
Russia,RUS,EU,2020,4,186.3
Russia,RUS,EU,2020,5,186.86
Russia,RUS,EU,2020,6,187.23
Russia,RUS,EU,2020,7,187.98
Russia,RUS,EU,2020,8,187.98
Russia,RUS,EU,2020,9,188.55
Russia,RUS,EU,2020,10,189.36
Russia,RUS,EU,2020,11,190.7
Russia,RUS,EU,2020,12,
USA,USA,NA,2020,1,257.97
USA,USA,NA,2020,2,258.68
USA,USA,NA,2020,3,258.12
USA,USA,NA,2020,4,256.39
USA,USA,NA,2020,5,256.39
USA,USA,NA,2020,6,257.8
USA,USA,NA,2020,7,259.1
USA,USA,NA,2020,8,259.92
USA,USA,NA,2020,9,260.28
USA,USA,NA,2020,10,260.39
USA,USA,NA,2020,11,260.23
USA,USA,NA,2020,12,
